Razão Social (Registro ANS);Cobertura;Porte;Classificação no Mês;Classificação no Mês Anterior;jan/18;dez/17;nov/17;out/17;set/17;ago/17;jul/17;jun/17;mai/17;abr/17;mar/17;fev/17;Competência;Data de atualização
UNIMED CENTRO PAULISTA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS (414573);Médico Hospitalar;Pequeno;33;194;12,49;0;0;0;0;0;10,16;40,69;40,61;40,43;10,04;9,99;201801;26/02/2018 11:03
UNIMED CENTRO SUL FLUMINENSE COOPERATIVA DE TRABALHO MÉDICO (320897);Médico Hospitalar;Pequeno;136;141;1,24;1,24;1,24;1,24;1,24;0,62;0,62;0;0,62;0,62;1,88;1,26;201801;26/02/2018 11:03
UNIMED CHAPECÓ - COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO OESTE CATARINENSE (354295);Médico Hospitalar;Médio;193;213;0,42;0,21;0,21;0;0;0;0;0,21;0,21;0,21;0;0,21;201801;26/02/2018 11:03
UNIMED CONSELHEIRO LAFAIETE COOPERATIVA DE TRABALHO MÉDICO LTDA (345709);Médico Hospitalar;Médio;50;70;3,07;2,62;2,17;2,17;1,74;0,43;0;0,86;1,3;1,31;0,44;0;201801;26/02/2018 11:03
UNIMED COSTA DO DESCOBRIMENTO COOPERATIVA DE TRABALHO MÉDICO (324345);Médico Hospitalar;Médio;40;55;3,62;3,21;2,39;1,59;1,19;0,79;1,19;1,99;2,81;1,61;0,81;0;201801;26/02/2018 11:03
UNIMED COSTA OESTE - COOPERATIVA DE TRABALHO MÉDICO (371106);Médico Hospitalar;Médio;167;187;0,59;0,39;0;0;0;0;0,4;0,4;0,4;0;0,2;0,4;201801;26/02/2018 11:03
UNIMED COSTA VERDE RJ (311146);Médico Hospitalar;Pequeno;189;194;0;0;1,67;2,5;2,51;3,32;3,29;3,26;1,62;1,62;1,62;0,81;201801;26/02/2018 11:03
UNIMED CUIABA COOPERATIVA DE TRABALHO MÉDICO (342084);Médico Hospitalar;Grande;52;41;1,54;2,49;2,9;2,48;1,41;1,62;2,27;2,62;2,35;2,08;2,11;2,1;201801;26/02/2018 11:03
UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS (304701);Médico Hospitalar;Grande;33;32;2,85;3,41;3,97;3,6;3,17;3,4;3,68;3,7;3,61;3,28;3,13;2,49;201801;26/02/2018 11:03
UNIMED CURVELO COOPERATIVA DE TRABALHO MÉDICO LTDA. (330108);Médico Hospitalar;Médio;82;59;1,82;3,07;4,04;2,52;1,59;0,32;1,6;1,27;1,89;0,62;0,94;0,32;201801;26/02/2018 11:03
UNIMED DAS ESTÂNCIAS PAULISTAS - OPERADORA DE PLANOS DE SAÚDE SOCIEDADE COOPERATIVA (348066);Médico Hospitalar;Pequeno;24;28;17,83;15,6;11,36;12,33;8,18;8,14;4,05;5,04;7,98;14,77;15,55;13,47;201801;26/02/2018 11:03
UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MÉDICO (311944);Médico Hospitalar;Pequeno;105;194;2;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED DE ANDRADINA - COOPERATIVA DE TRABALHO MÉDICO (303844);Médico Hospitalar;Pequeno;122;162;1,53;0,99;0,48;0,93;1,85;1,86;0,94;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED DE ARACATUBA - COOPERATIVA DE TRABALHO MÉDICO (369411);Médico Hospitalar;Médio;219;193;0;0,35;0,69;1,39;1,04;1,04;0,69;1,04;1,04;1,04;1,04;1,04;201801;26/02/2018 11:03
UNIMED DE ARARAQUARA - COOP. DE TRAB. MÉDICO (364312);Médico Hospitalar;Médio;218;212;0,11;0,22;0,44;0,66;0,78;0,67;0,79;0,56;0,34;0;0;0;201801;26/02/2018 11:03
UNIMED DE ARARAS COOPERATIVA DE TRABALHO MÉDICO (348082);Médico Hospitalar;Médio;51;81;2,99;2,07;2,3;1,84;3,2;2,74;2,74;1,84;1,85;1,62;1,16;0,92;201801;26/02/2018 11:03
UNIMED DE ARIQUEMES COOPERATIVA DE TRABALHO MÉDICO (358169);Médico Hospitalar;Pequeno;189;114;0;2,02;6,12;6,19;4,22;0;2,23;2,24;4,46;2,21;2,21;0;201801;26/02/2018 11:03
UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO (300713);Médico Hospitalar;Médio;158;192;0,72;0,36;0;0;0;0;0;0;0,38;0,38;0,38;0;201801;26/02/2018 11:03
UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO (304123);Médico Hospitalar;Pequeno;189;194;0;0;0;0,65;0,65;0,65;0,66;0,66;1,32;0,66;0,65;0,65;201801;26/02/2018 11:03
UNIMED DE BARRA MANSA SOC. COOP. SERV.MED.E HOSPIT. (330264);Médico Hospitalar;Médio;190;151;0,44;0,88;0,87;0,86;0,43;0,43;0,84;1,25;0,83;0,82;0,82;0,82;201801;26/02/2018 11:03
UNIMED DE BARRETOS COOPERATIVA DE TRABALHO MÉDICO (347108);Médico Hospitalar;Pequeno;177;194;0,59;0;0,51;0,51;1,03;0,51;0,51;0;0;0;0;1,02;201801;26/02/2018 11:03
UNIMED DE BATATAIS - COOPERATIVA DE TRABALHO MÉDICO (313149);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;1,49;1,48;1,47;201801;26/02/2018 11:03
UNIMED DE BAURU COOPERATIVA DE TRABALHO MÉDICO (369659);Médico Hospitalar;Médio;164;134;0,62;1,13;1,13;1,34;1,04;1,45;1,25;1,46;1,04;1,14;1,14;1,14;201801;26/02/2018 11:03
UNIMED DE BEBEDOURO COOPERATIVA DE TRABALHO MÉDICO (331341);Médico Hospitalar;Médio;143;166;0,91;0,68;0,45;0,68;0,91;0,91;0,91;0,68;0,68;0,45;0,45;0,23;201801;26/02/2018 11:03
UNIMED DE BELÉM COOPERATIVA DE TRABALHO MÉDICO (303976);Médico Hospitalar;Grande;62;63;0,91;1,05;1,18;1,17;1,55;1,69;1,79;1,33;1,36;1,39;1,29;1,19;201801;26/02/2018 11:03
UNIMED DE BIRIGUI - COOPERATIVA DE TRABALHO MÉDICO (345776);Médico Hospitalar;Médio;104;110;1,46;1,45;1,45;0,97;0,97;0,49;1,95;1,96;2,45;1,47;1,47;1,97;201801;26/02/2018 11:03
UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO (304883);Médico Hospitalar;Médio;210;207;0,25;0,25;0,49;0,25;0,24;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MÉDICO (348244);Médico Hospitalar;Pequeno;113;121;1,68;1,69;1,12;0;0;0;1,12;1,12;1,68;0,56;0,56;0;201801;26/02/2018 11:03
UNIMED DE CAÇAPAVA - COOPERATIVA DE TRABALHO MEDICO (334154);Médico Hospitalar;Pequeno;130;181;1,32;0,66;0;0;0;1,33;1,31;1,3;0;0;0,64;0,62;201801;26/02/2018 11:03
UNIMED DE CAMPOS COOPERATIVA DE TRABALHO MÉDICO (352683);Médico Hospitalar;Médio;29;34;4,61;4,63;5,27;5,29;5,5;4,66;5,3;6,81;7,05;6,01;3,45;5,41;201801;26/02/2018 11:03
UNIMED DE CAPIVARI -COOPERATIVA DE TRABALHO MÉDICO (366340);Médico Hospitalar;Pequeno;101;194;2,12;0;0;1,07;1,08;1,09;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED DE CASCAVEL COOPERATIVA DE TRABALHO MÉDICO (370070);Médico Hospitalar;Médio;123;135;1,22;1,11;1,45;1,45;1,45;0,9;0,34;0,22;0,56;0,67;1,46;1,68;201801;26/02/2018 11:03
UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO (324566);Médico Hospitalar;Pequeno;189;194;0;0;0;1,14;1,73;2,33;1,17;1,17;1,76;1,76;2,34;1,76;201801;26/02/2018 11:03
UNIMED DE CATANDUVA - COOPERATIVA DE TRABALHO MÉDICO (351407);Médico Hospitalar;Médio;219;218;0;0;0,24;0,24;0,24;0;0;0,51;1,03;1,04;0,53;0;201801;26/02/2018 11:03
UNIMED DE CIANORTE - COOPERATIVA DE TRABALHO MEDICO  (354627);Médico Hospitalar;Pequeno;189;194;0;0;0;0,86;1,72;1,72;0,85;0;0;0;0,86;2,57;201801;26/02/2018 11:03
UNIMED DE CORUMBA COOPERATIVA DE TRABALHO MÉDICO (344788);Médico Hospitalar;Pequeno;83;194;3,26;0;0;0;0;3,13;2,95;2,8;0;0;2,71;2,7;201801;26/02/2018 11:03
UNIMED DE CRICIÚMA COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO CARBONÍFERA (329339);Médico Hospitalar;Médio;184;170;0,46;0,61;0,46;0,46;0,61;0,76;1,37;0,92;1,24;0,47;0,47;0;201801;26/02/2018 11:03
UNIMED DE DOURADOS COOPERATIVA DE TRABALHO MÉDICO LTDA (333662);Médico Hospitalar;Médio;155;160;0,75;0,75;0,75;0,74;1,21;1,44;1,92;1,44;1,2;1,44;1,67;2,14;201801;26/02/2018 11:03
UNIMED DE DRACENA - COOPERATIVA DE TRABALHO MÉDICO (314781);Médico Hospitalar;Pequeno;189;136;0;1,3;1,31;1,28;0;2,43;3,62;3,62;2,42;1,21;1,21;1,21;201801;26/02/2018 11:03
UNIMED DE FEIRA DE SANTANA COOPERATIVA DE TRABALHO MÉDICO (322261);Médico Hospitalar;Médio;73;54;2,14;3,22;4,31;5,4;5,12;4,31;2,68;2,4;3,18;3,44;3,15;2,85;201801;26/02/2018 11:03
UNIMED DE FERNANDOPOLIS - COOPERATIVA DE TRABALHO MÉDICO (326089);Médico Hospitalar;Pequeno;86;130;2,89;1,44;1,44;1,44;1,43;1,43;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA. (317144);Médico Hospitalar;Grande;25;31;3,21;3,48;3,73;3,45;3,18;2,97;3,26;3,46;3,75;3,45;3,21;2,53;201801;26/02/2018 11:03
UNIMED DE GUARATINGUETA-COOPERATIVA DE TRABALHO MÉDICO (355577);Médico Hospitalar;Pequeno;189;147;0;1,15;1,14;1,12;0;3,2;5,31;5,27;2,13;0;0;1,06;201801;26/02/2018 11:03
UNIMED DE GUARULHOS COOPERATIVA DE TRABALHO MÉDICO (333051);Médico Hospitalar;Médio;97;71;1,62;2,61;2,51;2,52;2,2;2,42;2,53;2,4;3,04;2,91;4,09;3,31;201801;26/02/2018 11:03
UNIMED DE IBITINGA COOPERATIVA DE TRABALHO MÉDICO (365238);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0,84;0,84;0,84;0;0;0;0;201801;26/02/2018 11:03
UNIMED DE ITAPETININGA - COOPERATIVA DE TRABALHO MÉDICO (353027);Médico Hospitalar;Pequeno;114;189;1,67;0,54;1,08;2,16;2,17;1,63;0,54;0,54;0;0;0;0,54;201801;26/02/2018 11:03
UNIMED DE ITAPEVA - COOPERATIVA DE TRABALHO MÉDICO (327468);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED DE ITATIBA COOPERATIVA DE TRABALHO MÉDICO (415014);Médico Hospitalar;Pequeno;87;122;2,81;1,69;0,56;0;0;0;0;0,57;1,15;1,16;0,58;0;201801;26/02/2018 11:03
UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO (329886);Médico Hospitalar;Médio;219;218;0;0;0,33;0,66;0,66;0,66;0,66;0,66;0,33;0,34;0,35;0,35;201801;26/02/2018 11:03
UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA. (334847);Médico Hospitalar;Pequeno;128;95;1,36;2,7;1,34;1,33;0;0;0;0;0;0;1,29;1,29;201801;26/02/2018 11:03
UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MÉDICO (321273);Médico Hospitalar;Médio;88;126;1,75;1,3;0,94;1,29;1,43;2,25;1,78;1,85;1,16;0,81;0,58;1,04;201801;26/02/2018 11:03
UNIMED DE LENÇOIS PAULISTA - COOPERATIVA DE TRABALHO MÉDICO (325031);Médico Hospitalar;Médio;219;218;0;0;0;0;0;0,35;0,35;0,35;0;0;0;0;201801;26/02/2018 11:03
UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO (301574);Médico Hospitalar;Médio;192;184;0,43;0,42;0,63;0,85;1,28;0,85;1,07;0,64;0,64;0,22;0,22;0;201801;26/02/2018 11:03
UNIMED DE LINS - COOPERATIVA DE TRABALHOS MÉDICOS (354279);Médico Hospitalar;Pequeno;71;78;3,85;3,84;3,84;1,91;1,27;1,27;0,63;1,27;0,63;0,62;0;0,62;201801;26/02/2018 11:03
UNIMED DE LONDRINA COOPERATIVA DE TRABALHO MÉDICO (343269);Médico Hospitalar;Grande;65;67;0,84;0,79;0,58;0,89;1,1;1,26;1,21;1,06;1,27;1,27;1,53;1,16;201801;26/02/2018 11:03
UNIMED DE LORENA COOPERATIVA DE TRABALHO MÉDICO (385620);Médico Hospitalar;Pequeno;189;102;0;2,33;2,29;2,31;0;0;0;0;0;1,13;1,13;1,12;201801;26/02/2018 11:03
UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE (302953);Médico Hospitalar;Médio;93;85;1,68;1,92;1,91;1,9;2,39;2,88;2,88;2,14;2,09;1,88;2,32;2,16;201801;26/02/2018 11:03
UNIMED DE MANAUS COOP. DO TRABALHO MÉDICO LTDA (311961);Médico Hospitalar;Grande;3;1;6,59;12,19;13,47;13,97;9,71;8,96;7,02;5,62;4,11;3,46;2,83;2,31;201801;26/02/2018 11:03
UNIMED DE MARILIA COOPERATIVA DE TRABALHO MÉDICO (336106);Médico Hospitalar;Médio;117;114;1,28;1,41;1,03;0,65;0,65;0,91;1,18;1,18;1,05;0,52;0,52;0,26;201801;26/02/2018 11:03
UNIMED DE MINEIROS COOPERATIVA DE TRABALHO MÉDICO  (357715);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO (328308);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0,87;0,88;1,75;0,87;0,87;0,87;0,88;201801;26/02/2018 11:03
UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO (309524);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED DE OURINHOS - COOPERATIVA DE TRABALHO MÉDICO (311294);Médico Hospitalar;Médio;133;121;1,04;1,37;1,36;1,01;0,34;0,34;0,34;0,67;1,65;1,62;1,59;0,64;201801;26/02/2018 11:03
UNIMED DE PARANAGUÁ COOPERATIVA DE TRABALHO MÉDICO (361615);Médico Hospitalar;Médio;170;152;0,57;0,86;0,28;1,13;0,86;0,88;1,19;1,8;2,1;1,2;1,49;1,78;201801;26/02/2018 11:03
UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO (320862);Médico Hospitalar;Médio;219;218;0;0;0,91;0,91;2,75;3,22;4,15;2,31;1,39;1,39;1,85;1,39;201801;26/02/2018 11:03
UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO (323004);Médico Hospitalar;Pequeno;100;194;2,14;0;0;0;0;0;0;2,22;2,23;4,48;2,24;4,49;201801;26/02/2018 11:03
UNIMED DE PINDAMONHANGABA - COOPERATIVA TRABALHO MEDICO (342343);Médico Hospitalar;Pequeno;168;194;0,72;0;0;1,45;2,18;2,17;1,45;1,45;1,46;0,73;0,72;1,43;201801;26/02/2018 11:03
UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS (315729);Médico Hospitalar;Grande;56;54;1,27;1,52;1,31;1,47;1,4;1,41;1,26;1,04;0,97;1,15;1,58;1,82;201801;26/02/2018 11:03
UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO (314242);Médico Hospitalar;Pequeno;148;194;1,07;0;0;0;1,06;1,06;2,13;1,07;2,17;1,1;2,24;1,12;201801;26/02/2018 11:03
UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB.MÉDICO (315796);Médico Hospitalar;Médio;211;197;0,21;0,31;0,1;0,31;0,21;0,42;0,31;0,53;0,63;0,63;0,52;0,31;201801;26/02/2018 11:03
UNIMED DE REGISTRO COOPERATIVA DE TRABALHO MÉDICO (351776);Médico Hospitalar;Pequeno;134;139;1,25;1,26;2,52;1,26;1,26;1,26;1,26;1,25;0;0;1,24;1,24;201801;26/02/2018 11:03
UNIMED DE RIBEIRAO PRETO - COOPERATIVA DE TRABALHO MÉDICO (351202);Médico Hospitalar;Grande;71;72;0,6;0,7;0,87;1,22;1,49;1,93;2,01;1,4;1,05;1,04;1,3;1,04;201801;26/02/2018 11:03
UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO (306126);Médico Hospitalar;Médio;219;218;0;0;0;0;0,27;0,27;1,06;0,79;0,79;0,26;0,26;0,53;201801;26/02/2018 11:03
UNIMED DE SANTA BÁRBARA D'OESTE E AMERICANA - COOP DE TRABALHO MÉDICO (369292);Médico Hospitalar;Médio;187;210;0,45;0,23;0,23;0,46;0,46;0,92;0,92;1,04;1,16;1,16;1,05;0,46;201801;26/02/2018 11:03
UNIMED DE SANTOS COOP DE TRAB MEDICO (355721);Médico Hospitalar;Grande;30;30;2,93;3,52;3,05;3,47;3,29;3,82;4,22;3,86;3,61;2,91;2,96;2,75;201801;26/02/2018 11:03
UNIMED DE SAO JOSÉ DO RIO PARDO-COOP. DE TRAB. MÉDICO (354619);Médico Hospitalar;Pequeno;189;194;0;0;0;0;1,04;1,04;1,04;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED DE SÃO ROQUE - COOPERATIVA DE TRABALHO MÉDICO (318388);Médico Hospitalar;Médio;219;218;0;0;0,3;0,57;1,08;0,77;0,51;0;0,26;0,25;0,5;0,25;201801;26/02/2018 11:03
UNIMED DE SERTAOZINHO -  COOPERATIVA DE TRABALHO MÉDICO (344150);Médico Hospitalar;X;1;108;1,67;2,23;5,6;5,55;4,4;2,18;1,08;1,08;1,07;2,13;2,12;2,12;201801;26/02/2018 11:03
UNIMED DE SOBRAL COOPERATIVA DE TRABALHO MÉDICO LTDA (303178);Médico Hospitalar;Pequeno;110;100;1,8;2,41;2,42;0,61;1,21;1,2;1,8;1,2;1,81;1,2;0,59;0;201801;26/02/2018 11:03
UNIMED DE TATUI - COOPERATIVA DE TRABALHO MÉDICO (361941);Médico Hospitalar;Pequeno;150;111;1,06;2,11;1,58;1,58;0;0;0,53;1,61;1,63;1,63;1,09;1,09;201801;26/02/2018 11:03
UNIMED DE TAUBATÉ COOPERATIVA DE TRABALHO MÉDICO (363286);Médico Hospitalar;Pequeno;92;99;2,44;2,43;1,82;2,41;3,6;5,37;5,34;5,31;3,52;4,68;4,08;5,2;201801;26/02/2018 11:03
UNIMED DE TRES LAGOAS COOPERATIVA DE TRABALHO MÉDICO (342386);Médico Hospitalar;Pequeno;189;194;0;0;1,64;1,68;1,69;1,63;1,56;3,02;1,52;1,52;0;0;201801;26/02/2018 11:03
UNIMED DE TUBARAO - COOPERATIVA DE TRABALHO MEDICO DA REGIAO DA AMUREL (364860);Médico Hospitalar;Médio;103;150;1,47;0,88;0,87;0,87;0,87;0,87;0,58;0,58;0,29;0;0,29;0,29;201801;26/02/2018 11:03
UNIMED DE TUPA COOPERATIVA DE TRABALHO MÉDICO (365530);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0,93;0,93;0,93;201801;26/02/2018 11:03
UNIMED DE UBA COOPERATIVA DE TRABALHO MEDICO (362573);Médico Hospitalar;Pequeno;166;194;0,75;0;0;0;0;0,75;1,51;1,5;0,75;0;0;0;201801;26/02/2018 11:03
UNIMED DE VOLTA REDONDA COOPERATIVA DE TRABALHO MÉDICO (364584);Médico Hospitalar;Médio;58;37;2,82;4,4;6,32;6,67;5,09;3,51;2,79;3,64;3,64;3,29;3,29;2,94;201801;26/02/2018 11:03
UNIMED DE VOTUPORANGA - COOPERATIVA DE TRABALHO MÉDICO (328073);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;1,08;1,07;2,14;1,06;201801;26/02/2018 11:03
UNIMED DIVINOPOLIS - COOPERATIVA DE TRABALHO MEDICO LTDA (319121);Médico Hospitalar;Grande;69;74;0,73;0,5;0,67;0,62;0,73;0,73;0,79;0,79;0,62;0,51;0,4;0,68;201801;26/02/2018 11:03
UNIMED DO CARIRI COOPERATIVA DE TRABALHO MÉDICO (356123);Médico Hospitalar;Médio;64;52;2,52;3,39;2,28;3,17;3,47;4,6;4,85;3,69;2,28;0,86;1,15;1,15;201801;26/02/2018 11:03
UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA. (321958);Médico Hospitalar;Médio;100;76;1,58;2,45;2,61;2,17;2,02;2,31;2,9;2,33;1,76;1,47;1,62;1,77;201801;26/02/2018 11:03
UNIMED DO ESTADO DE SANTA CATARINA FED. EST. DAS COOP. MÉD. (355691);Médico Hospitalar;Grande;63;57;0,9;1,45;1,24;1,43;0,95;0,94;1,21;1,34;1,14;0,73;0,87;1;201801;26/02/2018 11:03
UNIMED DO ESTADO DE SP - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS (319996);Médico Hospitalar;Grande;13;8;4,74;6,14;7,27;8,74;8,85;8,14;6,43;5;4,97;4,4;4,8;4,33;201801;26/02/2018 11:03
UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS (312720);Médico Hospitalar;Grande;64;68;0,85;0,79;0,93;1,45;1,47;1,79;1,79;1,91;2;1,77;1,37;1,22;201801;26/02/2018 11:03
UNIMED DO OESTE DA BAHIA COOPERATIVA DE TRABALHO MÉDICO (325082);Médico Hospitalar;Pequeno;132;194;1,27;0;0;1,29;2,58;2,58;2,57;1,28;1,28;0;0;0;201801;26/02/2018 11:03
UNIMED DO OESTE DO PARANÁ - COOP. DE TRABALHO MEDICO (305227);Médico Hospitalar;Médio;219;218;0;0;0;0;0;0;0;0;0;0,45;0,45;0,45;201801;26/02/2018 11:03
UNIMED DO RIO GRANDE DO NORTE - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO (348406);Médico Hospitalar;Médio;7;14;8,7;7,31;7,51;7,12;7,58;7,65;6,86;7,99;6,51;5,66;4,57;6,09;201801;26/02/2018 11:03
UNIMED DO SUDOESTE COOPERATIVA DE TRABALHO MEDICO LTDA (350371);Médico Hospitalar;Médio;53;42;2,95;4,12;3,82;4,11;2,34;3,21;3,22;4,69;4,4;4,11;2,64;2,63;201801;26/02/2018 11:03
UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA. (311715);Médico Hospitalar;Médio;219;218;0;0;0;0,56;0,56;0,57;0;1,14;1,44;1,44;0,58;0,29;201801;26/02/2018 11:03
UNIMED ERECHIM - COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA. (357022);Médico Hospitalar;Pequeno;188;194;0,51;0;0;0;0;0;0;0,44;0,44;0,44;0;0;201801;26/02/2018 11:03
UNIMED EXTREMO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO (340251);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;1,08;1,09;1,09;0;0;201801;26/02/2018 11:03
UNIMED EXTREMO SUL COOPERATIVA DE TRABALHO MÉDICO (346209);Médico Hospitalar;Médio;115;125;1,31;1,3;0,86;0,43;1,3;0,87;0,87;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED FEDERAÇÃO INTERFEDERATIVA DAS COOPERATIVAS MÉDICAS DO CENTRO-OESTE E TOCANTINS (347361);Médico Hospitalar;Pequeno;19;14;24,26;36,31;28,12;20,01;7,97;7,96;43,7;55,52;63,34;43,51;43,48;82,06;201801;26/02/2018 11:03
UNIMED FOZ DO IGUACU COOPERATIVA TRABALHO MEDICO (351792);Médico Hospitalar;Médio;69;67;2,24;2,7;2,28;0,92;1,86;2,34;2,35;1,9;3,34;3,85;3,38;2,91;201801;26/02/2018 11:03
UNIMED FRANCA - SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS E HOSPITALARES (354783);Médico Hospitalar;Médio;149;154;0,81;0,81;0,81;0,94;0,81;1,08;1,22;0,95;0,54;0,27;0,41;0,68;201801;26/02/2018 11:03
UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO (336858);Médico Hospitalar;Pequeno;139;149;1,14;1,14;1,14;1,71;1,71;1,72;0,57;0;0;0;0;0,58;201801;26/02/2018 11:03
UNIMED FRONTEIRA NOROESTE/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (352179);Médico Hospitalar;Médio;186;218;0,45;0;0,9;1,8;1,8;0,9;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED FRUTAL COOPERATIVA DE TRABALHO MEDICO LTDA (371564);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED GOIANIA COOPERATIVA DE TRABALHO MÉDICO (382876);Médico Hospitalar;Grande;48;49;1,8;1,83;2,02;2,39;2,64;2,51;3,01;2,91;2,88;2,01;2,07;1,98;201801;26/02/2018 11:03
UNIMED GOVERNADOR VALADARES COOP. DE TRABALHO MÉDICO LTDA. (386588);Médico Hospitalar;Médio;136;91;0,98;1,79;1,64;1,65;1,33;1,5;1,66;1,33;1;0,83;1;0,99;201801;26/02/2018 11:03
UNIMED GRANDE FLORIANÓPOLIS-COOPERATIVA DE TRABALHO MEDICO (360449);Médico Hospitalar;Grande;23;20;3,55;4,02;4,33;3,61;3,47;2,86;3,16;3,12;2,72;2,79;2,77;3,2;201801;26/02/2018 11:03
UNIMED GUARAPUAVA COOPERATIVA DE TRABALHO MÉDICO (322571);Médico Hospitalar;Médio;161;94;0,67;1,69;2,03;2,37;2,39;1,71;1,38;1,38;1,73;1,75;0,71;1,07;201801;26/02/2018 11:03
UNIMED GUAXUPÉ COOPERATIVA DE TRABALHO MEDICO (318035);Médico Hospitalar;Pequeno;189;194;0;0;0;0;1,21;1,21;1,23;0;0,62;0,63;0,63;1,24;201801;26/02/2018 11:03
UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO (301124);Médico Hospitalar;Pequeno;138;85;1,17;3,44;2,31;2,32;0;1,17;3,53;3,53;2,36;0;0;0;201801;26/02/2018 11:03
UNIMED ILHEUS COOPERATIVA DE TRABALHO MEDICO (347230);Médico Hospitalar;Pequeno;164;173;0,78;0,78;2,33;2,32;2,33;2,33;1,55;1,58;0,8;0,82;0,82;0;201801;26/02/2018 11:03
UNIMED IMPERATRIZ COOPERATIVA DE TRABALHO MÉDICO (352543);Médico Hospitalar;Médio;32;86;4,16;1,9;3,07;3,09;3,48;2,68;2,65;3;3;2,26;2,26;2,64;201801;26/02/2018 11:03
UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA. (304395);Médico Hospitalar;Pequeno;187;161;0,51;1,02;0,51;0,52;0;0;0;0;0,52;1,04;1,04;0,52;201801;26/02/2018 11:03
UNIMED INTRAFEDERATIVA FEDERAÇÃO REGIONAL SUL DE MINAS (320838);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
